qstr_Next_Page|Следующая страница
qstr_Rogue_Singalian_Slav|Разбойничающие сингалийские работорговцы
qstr_Singalian_Hunters|Сингалийские охотники
qstr_Snake_Cult_Patrol|Патруль культа Змеи
qstr_Snake_Worshippers|Змеепоклонники
qstr_Serpent_Coven|Змеиный ковен
qstr_Snake_Cult_Killers|Убийцы культа Змеи
qstr_Snake_Cult_Virgin_Hu|Культисты Змеи, похищающие девственниц
qstr_Snake_Cult_Kidnapper|Культисты Змеи, похищающие детей
qstr_Snake_Cult_Warband|Военный отряд культа Змеи
qstr_Snake_Cult_Doomrider|Гибельные всадники культа Змеи
qstr_Serpent_High_Prieste|Высшая змеиная жрица
qstr_Snake_Cult_Raiders|Налетчики культа Змеи
qstr__A_wandering_travele| Странствующий путешественник рассказал вам, что Малтис и её Легион Страха высадились возле Цеза и вторглись в Пендор!
qstr__A_wandering_traveler| Странствующий путешественник рассказал вам, что поклонники богини-змеи высадили армию рядом с Цезом и вторглись в Пендор!
qstr_Heretic_Coven|Шабаш Еретиков
qstr_Demon_Worshippers|Демонопоклонники
qstr_Black_Coven|Черный Шабаш
qstr_Death_Cult|Культ Смерти
qstr_Heretic_Virgin_Hunte|Еретики-похитители девственниц
qstr_Heretic_Sacrifice_Ki|Еретики-похитители детей
qstr__You_come_across_a_m| Вы натолкнулись на монаха-пилигрима, который сказал вам, что могущественный демонический воин Айгрим Пожиратель вторгся в Пендор во главе армии мертвецов!
qstr__Word_reaches_you_that_a| До вас дошли слухи, что таинственное трио ведьм бродит по окрестностям с большой армией последователей!
qstr__You_receive_word_fr| Вы услышали от путника, что Еретики вызвали демонических воинов и собирают армию!
qstr_Inquisition_Patrol|Патруль Инквизиции
qstr_Interrogation_Band|Допросный отряд
qstr_Inquisition_Missiona|Миссионеры Инквизиции
qstr_Inquisition_Devoted|Посвященные Инквизиции
qstr_Inquisition_Heathen_|Охотники за язычниками Инквизиции
qstr_Inquisition_Crusader|Крестоносцы Инквизиции
qstr_Zealot_Purgers|Фанатики
qstr_Inquisition_Holy_Gua|Святая гвардия Инквизиции
qstr_Heresy_Hunters|Охотники на еретиков
qstr_Inquisition_Heretic_|Охотники на еретиков Инквизиции
qstr__Word_reaches_you_that_H| До вас дошли слухи, что Святой инквизитор Расмус Деватич собирает армию для охоты на еретиков и для распространения цивилизации на дикие племена Д'Шар.
qstr__A_wandering_traveler_|Бродячий путешественник сообщает вам, что Святая Инквизиция начала крестовый поход против племен Д'Шар.
qstr__Word_reaches_you_that_Buri| До вас дошли слухи, что Берилджи Узурпатор собирает армию возле Торбы!
qstr__Word_reaches_you_that_Osw| До вас дошли слухи, что Освальд де Флер собрал все свои компании искателей приключений в единую армию!
qstr__Word_reaches_you_that_Bor| До вас дошли слухи, что Борис-Ворон собрал компанию рыцарей Вороного Копья!
qstr__Word_reaches_you_Me| До вас дошли слухи, что Мереган Кирлик собрал компанию искателей приключений Меча Грифона.
qstr__Word_reaches_you_that_t| До вас дошли слухи, что бесплатный эль, хорошие развлечения и нарушитель спокойствия по имени Аларик Фон Сенсация, марширует с маленькой армией дезертиров в пьяном веселье вокруг Сарлеона!
qstr__Word_reaches_you_that_Koda| До вас дошли слухи, что Кодан Железный Меч собрал дворян и рыцарей, чтобы бросить вызов любому, кто перейдет ему дорогу!
qstr__Word_reaches_you_that_Sh| До вас дошли слухи, что Шейх Шалаван объединил воинов пустыни и сражается под флагом Императора Мариуса!
qstr__Word_reaches_you_Syla| До вас дошли слухи, что Сила Узас, известный Бессмертный воин Империи, собрал небольшую армию опытных легионеров и провоцирует восстание около города Янос.
qstr__You_come_across_a_mo| Вы пересеклись с монахом в паломничестве, который рассказал вам, что непобедимый Ярл Ванскерри высадился со своей армией на западном побережье!
qstr__You_overhear_two_yo| Вы подслушиваете двух молодых фермеров, говорящих о героическом авантюристе, который ведет крестьянское восстание!
qstr__You_have_the_feelin| Вы чувствуете, что что-то или кто - то наблюдает за вами. Ваш навык зоркости возрос на 1.
qstr__You_suddenly_realiz| Вы внезапно понимаете, что нет никаких звуков вокруг вас. Это полная тишина. Ваш навык лидерства возрос на 1.
qstr__Suddenly_you_feel_u| Вдруг вы почувствовали необычную тревогу внутри себя и волосы ваши стали дыбом! Вас навык тренера был повышен на 1.
qstr__As_if_in_a_daze_you| Смотря вокруг, вас не покидало чувство дежавю, напоминая сон, в котором вы однажды разговаривали с женщиной, у которой были длинные черные волосы и карие глаза. Разговор был очень важен, но как бы вы не пытались, вы не смогли вспомнить, о чем шла речь. Ваш навык тактики возрос на 1.
qstr__There_is_a_strangel| Очень странная гипнотическая мелодия звучит у вас в голове. Вы ума не можете приложить, где вы могли слышать эту мелодию, но она продолжает играть снова и снова, и вы не можете избавиться от ее звучания. Вам кажется, что, вспомнив, где вы слышали эту мелодию, вы узнали бы что-то важное... Ваш навык инженерии возрос на 1. 
qstr__You_were_idly_watch| Вы смотрели на облака, как они плывут по небу, прямо как в детстве, когда вы разглядывали некие формы и лица в тех облаках... Одна из форм напоминала орду конных лучников, пересекающих небо... Вдруг, резко перед вами в землю встревает стрела, кажется, лучник с неба выпустил эту стрелу... Ваш навык верховой стрельбы из лука возрос на 1.
qstr__In_the_sound_of_a_g| Наравне с шумом ветра вы слышите голоса, но не можете понять, что они говорят. Вы пытаетесь прислушаться, но голоса вдруг исчезают. Вы знаете, что они пытались вам что-то рассказать, но вы не уловили переданное сообщение. Ваш навык содержания пленных увеличился на 1.
